0.3204545455,0.9204545455,67.0000000000
1.2500000000,1.8500000000,75.0000000000
0.8000000000,1.9000000000,72.0000000000
1.7295454545,2.6909090909,74.0000000000
2.1909090909,2.8909090909,72.0000000000
2.6295454545,3.2204545455,56.0000000000
2.6500000000,3.6204545455,75.0000000000
3.1090909091,3.8295454545,72.0000000000
3.5704545455,4.7704545455,74.0000000000
4.0295454545,5.1090909091,72.0000000000
4.4704545455,5.2000000000,56.0000000000
4.9500000000,5.2090909091,46.0000000000
1.7295454545,5.2409090909,48.0000000000
4.4795454545,5.4590909091,68.0000000000
4.9500000000,5.6090909091,70.0000000000
5.4090909091,7.2909090909,67.0000000000
8.6295454545,8.9000000000,87.0000000000
7.7295454545,8.9500000000,67.0000000000
5.4090909091,9.1204545455,48.0000000000
8.6500000000,9.2204545455,75.0000000000
8.1909090909,9.2704545455,72.0000000000
9.1090909091,10.0704545455,74.0000000000
9.5590909091,10.2704545455,72.0000000000
10.0409090909,10.9909090909,75.0000000000
10.4795454545,11.1909090909,72.0000000000
10.9500000000,12.1295454545,74.0000000000
11.8795454545,12.4090909091,67.0000000000
11.4090909091,12.7909090909,60.0000000000
9.1204545455,12.8090909091,48.0000000000
12.3204545455,12.8590909091,66.0000000000
11.4204545455,12.9795454545,72.0000000000
12.7704545455,14.4409090909,65.0000000000
12.7795454545,14.7704545455,50.0000000000
